,park_name,fountain_number,location_description,address,2017_initial_result,2017_initial_sample_date,2017_follow_up_result,2017_follow_up_sample_date,2017_epa_first_draw_result,2017_epa_first_draw_sample_date,follow_up_field_result,follow_up_field_sample_date,unmarked_result,unmarked_sample_date,2016_epa_first_draw_result,2016_epa_flush_30_sec,2016_epa_flush_10_min,lat,lon
47,ARMOUR (PHILIP) SQUARE,Armour Square #2 - Low,south of playlot entrance,3309 S SHIELDS AVE,2,4/14/17,,,,,,,,,3.37,,,41.834244,-87.63503827
48,ARMOUR (PHILIP) SQUARE,Armour Square #3 - High,"east side of walking path, north of southeast entrance",3309 S SHIELDS AVE,2,4/14/17,,,,,,,,,2.51,,,41.834244,-87.63503827
49,ARMOUR (PHILIP) SQUARE,Armour Square #3 - Low,"east side of walking path, north of southeast entrance",3309 S SHIELDS AVE,2,4/14/17,,,,,,,,,1.63,,,41.834244,-87.63503827
50,ARMOUR (PHILIP) SQUARE,Armour Square #4 - High,"west of south diamond, east of tennis courts",3309 S SHIELDS AVE,2,4/14/17,,,,,,,,,6.44,,,41.834244,-87.63503827
51,ARMOUR (PHILIP) SQUARE,Armour Square #4 - Low,"west of south diamond, east of tennis courts",3309 S SHIELDS AVE,2,4/14/17,,,,,,,,,6.25,,,41.834244,-87.63503827
52,ARMSTRONG (LILLIAN HARDIN),Armstrong  #1,"on center of running track, opposite st. lawrence, east side of track",4433 S ST LAWRENCE,2,4/28/17,,,,,,,,,2,,,41.814061,-87.610995
53,ARRIGO (VICTOR),Arrigo  #1 - High,"southeast corner of park, near lytle and cabrini",801 S LOOMIS ST,32.3,4/11/17,16.1,5/25/17,,,55,6/29/17,14,7/31/17,92,110,86,41.8394176,-87.655627
54,ARRIGO (VICTOR),Arrigo  #1 - Low,"southeast corner of park, near lytle and cabrini",801 S LOOMIS ST,112,4/11/17,25.3,5/25/17,,,,,,,91,110,86,41.8394176,-87.655627
55,ASHE (ARTHUR) BEACH,Ashe Beach #1 - High,at entrance on 74th,2701 E 74TH ST,2,4/8/17,,,,,,,,,2,,,41.7606923,-87.5780222
56,ASHE (ARTHUR) BEACH,Ashe Beach #1 - Middle,at entrance on 74th,2701 E 74TH ST,2,4/8/17,,,,,,,,,2,,,41.7606923,-87.5780222
57,ASHE (ARTHUR) BEACH,Ashe Beach #1 - Low,at entrance on 74th,2701 E 74TH ST,2,4/8/17,,,,,,,,,2,,,41.7606923,-87.5780222
