park_name,fountain_number,location_description,address,2017_initial_result,2017_initial_sample_date,2017_follow_up_result, 2017_follow_up_sample_date,2017_epa_first_draw_result, 2017_epa_first_draw_sample_date, follow_up_field_result, follow_up_field_sample_date,unmarked_result,unmarked_sample_date,2016_epa_first_draw_result,2016_epa_flush_30_sec,2016_epa_flush_10_min 
AVALON,Avalon  #3 - Low,"SOUTHWEST CORNER, EAST OF PATH AND TENNIS COURTS",1215 E 83RD ST,14.2,4/29/17,,,5.39,6/28/17,,,,,1200,1100,65
AVALON,Avalon  #4 - High,CENTER PATH BETWEEN ATHLETIC FIELDS NEAR SOUTH END,1215 E 83RD ST,5.42,4/29/17,,,8.67,6/28/17,,,,,270,360,13
AVALON,Avalon  #4 - Low,CENTER PATH BETWEEN ATHLETIC FIELDS NEAR SOUTH END,1215 E 83RD ST,5.29,4/29/17,,,8.57,6/28/17,,,,,400,360,13
AVALON,Avalon  #5 - High,"EAST PATH NEAR PARKING LOT, NORTH OF POOL",1215 E 83RD ST,68.5,4/29/17,12.3,6/13/17,11.8,6/30/17,31,7/25/17,,,150,240,400
AVALON,Avalon  #5 - Low,"EAST PATH NEAR PARKING LOT, NORTH OF POOL",1215 E 83RD ST,63.5,4/29/17,11.3,6/13/17,11.6,6/30/17,,,,,170,280,390
AVALON,Avalon  #6 - High,POOL DECK NEAR SHOWER BUILDING,1215 E 83RD ST,<2.0,4/29/17,<2.0,6/2/17,<2.0,6/28/17,<2.0,6/29/17,,,8.2,,
AVALON,Avalon  #6 - Low,POOL DECK NEAR SHOWER BUILDING,1215 E 83RD ST,41,4/29/17,<2.0,6/2/17,<2.0,6/28/17,,,,,15,,
AVONDALE,Avondale  #1,Pool deck,3516 W SCHOOL ST,2.39,6/2/17,,,,,,,,,0.457,,
AVONDALE,Avondale  #2,East of fieldhouse,3516 W SCHOOL ST,3.09,4/18/17,,,,,,,,,9.52,,
BACK OF THE YARDS,Back of the Yards  #1 - High,Inside 49th Street entrance,4920 S THROOP ST,<2.0,6/9/17,,,,,,,,,-,,
BACK OF THE YARDS,Back of the Yards  #1 - Low,Inside 49th Street entrance,4920 S THROOP ST,<2.0,6/9/17,,,,,,,,,-,,
BARNARD (ERASTUS),Barnard  #1,NORTHWEST CORNER ON PATH,10441 S LONGWOOD DR,2.84,4/17/17,,,,,,,,,14,,
BARNARD (ERASTUS),Barnard  #2 - High,PLAYGROUND,10441 S LONGWOOD DR,<2.0,4/17/17,,,,,,,,,6.11,,
BARNARD (ERASTUS),Barnard  #2 - Low,PLAYGROUND,10441 S LONGWOOD DR,<2.0,4/17/17,,,,,,,,,15.5,26,2.6
BARRETT (CHARLES),Barrett  #1,Near Cermak entrance,2022 W CERMAK RD,<2.0,4/7/17,,,,,,,,,2.6,,
BARTELME (MARY),Bartelme  #1 - High,Northwest side of playground,115 S. SANGAMON ST,<2.0,4/26/17,,,,,,,,,<2.0,,
BARTELME (MARY),Bartelme  #1 - Middle,Northwest side of playground,115 S. SANGAMON ST,<2.0,4/26/17,,,,,,,,,<2.0,,
BARTELME (MARY),Bartelme  #1 - Low,Northwest side of playground,115 S. SANGAMON ST,<2.0,4/26/17,,,,,,,,,<2.0,,
BARTELME (MARY),Bartelme  #2 - High,In dog area,115 S. SANGAMON ST,<2.0,4/26/17,,,,,,,,,<2.0,,
BARTELME (MARY),Bartelme  #2 - Dog,In dog area,115 S. SANGAMON ST,<2.0,4/26/17,,,,,,,,,<2.0,,
BAULER (MATHIAS),Bauler  #1,Center of park,517 W WISCONSIN ST,6.51,4/26/17,,,44,9/1/17,,,,,38,40,15
BEEHIVE,Beehive  #1 - High,AT PARK ENTRANCE ON DORCHESTER,6156 S DORCHESTER AVE,<2.0,4/11/17,,,,,,,,,7.41,,
BEEHIVE,Beehive  #1 - Low,AT PARK ENTRANCE ON DORCHESTER,6156 S DORCHESTER AVE,<2.0,4/11/17,,,,,,,,,6.14,,
"BELL (GEORGE,JR.)",Bell  #1,Between basketball court and playground,3020 N OAK PARK AVE,2.45,4/8/17,,,66.4,8/19/17,,,,,16.6,19,4.3
BERGER (ALBERT),Berger  #1 - High,NORTHEAST CORNER OF CULTURAL CENTER,6227 N SHERIDAN RD,<2.0,4/24/17,,,,,,,,,<2.0,,
BERGER (ALBERT),Berger  #1 - Middle,NORTHEAST CORNER OF CULTURAL CENTER,6227 N SHERIDAN RD,<2.0,4/24/17,,,,,,,,,<2.0,,
BERGER (ALBERT),Berger  #1 - Low,NORTHEAST CORNER OF CULTURAL CENTER,6227 N SHERIDAN RD,<2.0,4/24/17,,,,,,,,,<2.0,,
BESSEMER (HENRY),Bessemer  #1,EAST END OF RUNNING TRACK,8930 S MUSKEGON AVE,<2.0,5/4/17,,,,,,,,,<2.0,,
BESSEMER (HENRY),Bessemer  #2,ON POOL DECK,8930 S MUSKEGON AVE,<2.0,6/21/17,,,,,,,,,<2.0,,
BESSEMER (HENRY),Bessemer  #3,SOUTHWEST AREA OF PARKING LOT,8930 S MUSKEGON AVE,<2.0,5/4/17,,,,,,,,,<2.0,,
