park_name,fountain_number,location_description,address,2017_initial_result,2017_initial_sample_date,2017_follow_up_result, 2017_follow_up_sample_date,2017_epa_first_draw_result, 2017_epa_first_draw_sample_date, follow_up_field_result, follow_up_field_sample_date,unmarked_result,unmarked_sample_date,2016_epa_first_draw_result,2016_epa_flush_30_sec,2016_epa_flush_10_min 
LINCOLN (ABRAHAM),Lincoln  #35 - West,"EAST OF LSD, AT OAK, NEAR OAK STREET BEACH",2045 N LINCOLN PARK WEST,-,,,,2.06,6/6/17,,,,,-,,
LINCOLN (ABRAHAM),Lincoln  #36 - North,"EAST OF LSD, AT ELM, NEAR OAK STREET BEACH",2045 N LINCOLN PARK WEST,<2.0,4/5/17,,,,,,,,,11,,
LINCOLN (ABRAHAM),Lincoln  #36 - East,"EAST OF LSD, AT ELM, NEAR OAK STREET BEACH",2045 N LINCOLN PARK WEST,<2.0,4/5/17,,,,,,,,,9.6,,
LINCOLN (ABRAHAM),Lincoln  #36 - South,"EAST OF LSD, AT ELM, NEAR OAK STREET BEACH",2045 N LINCOLN PARK WEST,<2.0,4/5/17,,,,,,,,,11,,
LINCOLN (ABRAHAM),Lincoln  #36 - West,"EAST OF LSD, AT ELM, NEAR OAK STREET BEACH",2045 N LINCOLN PARK WEST,<2.0,4/5/17,,,,,,,,,9.7,,
LINCOLN (ABRAHAM),Lincoln  #37,"EAST OF LSD, AT DIVISION, NEAR OAK STREET BEACH",2045 N LINCOLN PARK WEST,8.01,4/5/17,,,16.2,6/6/17,,,,,36,12,12
LINCOLN (ABRAHAM),Lincoln  #38,"EAST OF LSD, AT GOETHE, NEAR OAK STREET BEACH",2045 N LINCOLN PARK WEST,4330,4/5/17,13.8,5/23/17,,,,,,,22,20,21
LINCOLN (ABRAHAM),Lincoln  #39 - North,"EAST OF LSD, AT NORTH AVE. LSD RAMP",2045 N LINCOLN PARK WEST,<2.0,4/5/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #39 - East,"EAST OF LSD, AT NORTH AVE. LSD RAMP",2045 N LINCOLN PARK WEST,<2.0,4/5/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #39 - South,"EAST OF LSD, AT NORTH AVE. LSD RAMP",2045 N LINCOLN PARK WEST,<2.0,4/5/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #39 - West,"EAST OF LSD, AT NORTH AVE. LSD RAMP",2045 N LINCOLN PARK WEST,<2.0,4/5/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #40,"EAST OF LSD, NAB BEACH HOUSE, NORTHWEST RESTROOM",2045 N LINCOLN PARK WEST,<2.0,4/8/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #41,"EAST OF LSD, NAB BEACH HOUSE, SW WOMEN'S RESTROOM",2045 N LINCOLN PARK WEST,<2.0,4/8/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #42,"EAST OF LSD, NAB BEACH HOUSE, SW MEN'S RESTROOM",2045 N LINCOLN PARK WEST,<2.0,4/8/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #43,"EAST OS LSD, NAB BEACH HOUSE, SE MEN'S RESTROOM",2045 N LINCOLN PARK WEST,<2.0,4/8/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #44,"EAST OF LSD, NAB BEACH HOUSE, SE WOMEN'S RESTROOM",2045 N LINCOLN PARK WEST,<2.0,4/13/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #45,"EAST OF LSD, NAB BEACH HOUSE, EAST WOMEN'S RESTROOM",2045 N LINCOLN PARK WEST,-,,,,,,,,,,-,,
LINCOLN (ABRAHAM),Lincoln  #46,"EAST OF LSD, NAB BEACH HOUSE, EAST MEN'S RESTROOM",2045 N LINCOLN PARK WEST,<2.0,4/13/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #47 - North,"EAST OF LSD, AT WISCONSIN, NEAR NORTH AVE BEACH",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #47 - East,"EAST OF LSD, AT WISCONSIN, NEAR NORTH AVE BEACH",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #47 - South,"EAST OF LSD, AT WISCONSIN, NEAR NORTH AVE BEACH",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #47 - West,"EAST OF LSD, AT WISCONSIN, NEAR NORTH AVE BEACH",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #48,"EAST OF LSD, AT ARMITAGE, NEAR NORTH AVE. BEACH",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,2.7,,
LINCOLN (ABRAHAM),Lincoln  #49 - North,"EAST OF LSD, AT WEBSTER COMFORT STATION",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #49 - East,"EAST OF LSD, AT WEBSTER COMFORT STATION",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #49 - South,"EAST OF LSD, AT WEBSTER COMFORT STATION",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #49 - West,"EAST OF LSD, AT WEBSTER COMFORT STATION",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #50 - North,"EAST OF LSD, AT FULLERTON",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #50 - East,"EAST OF LSD, AT FULLERTON",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #50 - South,"EAST OF LSD, AT FULLERTON",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #50 - West,"EAST OF LSD, AT FULLERTON",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #51,"EAST OF LSD, AT FULLERTON, THEATRE ON THE LAKE",2045 N LINCOLN PARK WEST,3.18,4/4/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #52 - High,"EAST OF LSD, AT DIVERSEY",2045 N LINCOLN PARK WEST,2.02,4/4/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #52 - Low,"EAST OF LSD, AT DIVERSEY",2045 N LINCOLN PARK WEST,2.39,4/4/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #53,"EAST OF LSD, AT BELMONT HARBOR CONCESSION, SOUTH",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #54 - High,"EAST OF LSD, AT BELMOND HARBOR COMFORT STATION, WEST",2045 N LINCOLN PARK WEST,<2.0,4/6/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #54 - Middle,"EAST OF LSD, AT BELMOND HARBOR COMFORT STATION, WEST",2045 N LINCOLN PARK WEST,<2.0,4/6/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #54 - Low,"EAST OF LSD, AT BELMOND HARBOR COMFORT STATION, WEST",2045 N LINCOLN PARK WEST,<2.0,4/6/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #55,"EAST OF LSD, BELMONT HARBOR EAST",2045 N LINCOLN PARK WEST,-,,,,,,,,,,-,,
LINCOLN (ABRAHAM),Lincoln  #56 - High,"EAST OF LSD, BELMONT HARBOR AT BROMPTON, TOTEM POLE",2045 N LINCOLN PARK WEST,<2.0,4/5/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #56 - Middle,"EAST OF LSD, BELMONT HARBOR AT BROMPTON, TOTEM POLE",2045 N LINCOLN PARK WEST,<2.0,4/5/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #56 - Low,"EAST OF LSD, BELMONT HARBOR AT BROMPTON, TOTEM POLE",2045 N LINCOLN PARK WEST,<2.0,4/5/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #57,"EAST OF LSD, AT WAVELAND, BIRD SANCTUARY",2045 N LINCOLN PARK WEST,2.64,4/5/17,,,<2.0,6/6/17,<2.0,7/18/17,,,22,10,3.5
LINCOLN (ABRAHAM),Lincoln  #58,"EAST OF LSD, AT WAVELAND, SOUTH TENNIS COURTS",2045 N LINCOLN PARK WEST,6.45,4/6/17,,,36.1,6/6/17,3,7/18/17,,,41,34,28
LINCOLN (ABRAHAM),Lincoln  #59,"EAST OF LSD, AT WAVELAND BASEBALL FIELDS",2045 N LINCOLN PARK WEST,<2.0,4/6/17,,,79.7,6/6/17,<2.0,7/18/17,,,44,6.2,4.1
LINCOLN (ABRAHAM),Lincoln  #60,"EAST OF LSD, AT WAVELAND NORTH TENNIS COURTS",2045 N LINCOLN PARK WEST,<2.0,4/6/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #61,"EAST OF LSD, AT WAVELAND, MAROVITZ 3RD GREEN",2045 N LINCOLN PARK WEST,<2.0,,,,,,,,,,14,,
LINCOLN (ABRAHAM),Lincoln  #62,"EAST OF LSD, AT MONTROSE, ON BIKE PATH",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,5.6,,
LINCOLN (ABRAHAM),Lincoln  #63,"EAST OF LSD, AT WILSON COMFORT STATION",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,4.1,,
LINCOLN (ABRAHAM),Lincoln  #64,"EAST OF LSD, SW SIDE OF CRICKET HILL",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,2.9,,
LINCOLN (ABRAHAM),Lincoln  #65,"EAST OF LSD, MONTROSE HARBOR NORTH",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #66 - North,"EAST OF LSD, MONTROSE HARBOR, NEAR BAIT SHOP",2045 N LINCOLN PARK WEST,<2.0,6/12/17,,,<2.0,8/5/17,<2.0,7/19/17,,,-,,
LINCOLN (ABRAHAM),Lincoln  #66 - East,"EAST OF LSD, MONTROSE HARBOR, NEAR BAIT SHOP",2045 N LINCOLN PARK WEST,<2.0,6/12/17,,,<2.0,8/5/17,,,,,-,,
LINCOLN (ABRAHAM),Lincoln  #66 - South,"EAST OF LSD, MONTROSE HARBOR, NEAR BAIT SHOP",2045 N LINCOLN PARK WEST,<2.0,6/12/17,,,<2.0,8/5/17,,,,,-,,
LINCOLN (ABRAHAM),Lincoln  #66 - West,"EAST OF LSD, MONTROSE HARBOR, NEAR BAIT SHOP",2045 N LINCOLN PARK WEST,<2.0,6/12/17,,,<2.0,8/5/17,,,,,-,,
LINCOLN (ABRAHAM),Lincoln  #67,"EAST OF LSD, MONTROSE BEACH CONCESSION",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #68,"EAST OF LSD, MONTROSE BEACH, NORTH OF BEACH HOUSE",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,4.97,8/5/17,4,7/19/17,,,20,5.6,<2.0
LINCOLN (ABRAHAM),Lincoln  #69 - High,"EAST OF LSD, MONTROSE BEACH HOUSE",2045 N LINCOLN PARK WEST,<2.0,4/5/17,,,<2.0,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #69 - Middle,"EAST OF LSD, MONTROSE BEACH HOUSE",2045 N LINCOLN PARK WEST,<2.0,4/5/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #69 - Low,"EAST OF LSD, MONTROSE BEACH HOUSE",2045 N LINCOLN PARK WEST,<2.0,4/5/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #70,"EAST OF LSD, AT WILSON",2045 N LINCOLN PARK WEST,<2.0,5/10/17,,,,,,,,,2.1,,
LINCOLN (ABRAHAM),Lincoln  #71,"EAST OF LSD, AT LELAND",2045 N LINCOLN PARK WEST,<2.0,5/10/17,,,,,,,,,2,,
LINCOLN (ABRAHAM),Lincoln  #72,"EAST OF LSD, AT LAWRENCE",2045 N LINCOLN PARK WEST,<2.0,5/10/17,,,,,,,,,12,,
LINCOLN (ABRAHAM),Lincoln  #73,"EAST OF LSD, AT CASTLEWOOD",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #74 - High,"EAST OF LSD, AT ARGYLE",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #74 - Low,"EAST OF LSD, AT ARGYLE",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #74 - Dog,"EAST OF LSD, AT ARGYLE",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #75 - High,"EAST OF LSD, AT CARMEN",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #75 - Middle,"EAST OF LSD, AT CARMEN",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #75 - Low,"EAST OF LSD, AT CARMEN",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #76 - High,"EAST OF LSD, AT FOSTER BEACH HOUSE",2045 N LINCOLN PARK WEST,<2.0,4/5/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #76 - Low,"EAST OF LSD, AT FOSTER BEACH HOUSE",2045 N LINCOLN PARK WEST,<2.0,4/5/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #77,"EAST OF LSD, AT BALMORAL",2045 N LINCOLN PARK WEST,3.47,4/4/17,,,,,,,,,4.6,,
LINCOLN (ABRAHAM),Lincoln  #78,"EAST OF LSD, AT BRYN MAWR",2045 N LINCOLN PARK WEST,3.33,4/4/17,,,10.4,,8,7/19/17,,,130,140,51
LINCOLN (ABRAHAM),Lincoln  #79 - High,"EAST OF LSD, AT SOUTHEAST OF OSTERMAN BEACH HOUSE",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #79 - Low,"EAST OF LSD, AT SOUTHEAST OF OSTERMAN BEACH HOUSE",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #79 - Dog,"EAST OF LSD, AT SOUTHEAST OF OSTERMAN BEACH HOUSE",2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,<2.0,,
LINCOLN (ABRAHAM),Lincoln  #80,Ardmore,2045 N LINCOLN PARK WEST,<2.0,4/4/17,,,,,,,,,9.7,,
LINCOLN (ABRAHAM),Lincoln  #81,Diversey Driving Range,2045 N LINCOLN PARK WEST,<2.0,4/13/17,,,23.8,8/5/17,<2.0,7/17/17,,,-,,
LINDBLOM (ROBERT),Lindblom  #1 - High,ON DAMEN AT 60TH,6054 S DAMEN AVE,2.49,4/6/17,,,<2.0,6/29/17,,,,,16.4,31,8.2
LINDBLOM (ROBERT),Lindblom  #1 - Low,ON DAMEN AT 60TH,6054 S DAMEN AVE,4.81,4/6/17,,,<2.0,6/29/17,,,,,13.3,,
LINDBLOM (ROBERT),Lindblom  #2,POOL DECK,6054 S DAMEN AVE,<2.0,4/6/17,,,,,,,,,3.25,,
LINDBLOM (ROBERT),Lindblom  #3,SOUTHWEST OF POOL FENCE ON PATH,6054 S DAMEN AVE,<2.0,4/6/17,,,,,,,,,27.4,<2.0,5.2
LINDEN,Linden  #1,"On Pulaski, southwest of basketball court",1139 N PULASKI RD,<2.0,4/8/17,,,,,,,,,0.19,,
LITTLE VENICE,Little Venice  #1,Northeast corner of park,2251 W 50TH PL,2.33,7/8/17,,,,,,,,,1.69,,
LIVINGSTON FIELD,Livingston Field #1 - High,Southwest corner of field,2139 W LEXINGTON ST,<2.0,4/7/17,,,,,,,,,0.511,,
LIVINGSTON FIELD,Livingston Field #1 - Low,Southwest corner of field,2139 W LEXINGTON ST,<2.0,4/7/17,,,,,,,,,0.563,,
LOGAN BOULEVARD SKATE PARK,Logan Skate Park  #1 - High,NORTH OF PATH UNDER KENNEDY,2430 W LOGAN BLVD,<2.0,4/24/17,,,,,,,,,<2.0,,
LOGAN BOULEVARD SKATE PARK,Logan Skate Park  #1 - Low,NORTH OF PATH UNDER KENNEDY,2430 W LOGAN BLVD,<2.0,4/24/17,,,,,,,,,<2.0,,
LOWE (SAMUEL),Lowe  #1 - High,SOUTHEAST CORNER OF FIELDHOUSE,5203 S LOWE AVE,<2.0,4/5/17,,,,,,,,,7.95,,
LOWE (SAMUEL),Lowe  #1 - Middle,SOUTHEAST CORNER OF FIELDHOUSE,5203 S LOWE AVE,<2.0,4/5/17,,,,,,,,,1.17,,
LOWE (SAMUEL),Lowe  #1 - Low,SOUTHEAST CORNER OF FIELDHOUSE,5203 S LOWE AVE,<2.0,4/5/17,,,,,,,,,0.992,,
LOYOLA,Loyola  #2,NORTHWEST CORNER OF BASKETBALL COURT,1230 W GREENLEAF AVE,<2.0,4/22/17,,,<2.0,,<2.0,7/20/17,,,38,43,<2.0
LOYOLA,Loyola  #3,PLAYGROUND,1230 W GREENLEAF AVE,<2.0,4/22/17,,,,,,,,,<2.0,,
LOYOLA,Loyola  #4,COMFORT STATION,1230 W GREENLEAF AVE,<2.0,4/22/17,,,,,,,,,<2.0,,
LOYOLA,Loyola  #5,MORSE CUL-DE-SAC,1230 W GREENLEAF AVE,<2.0,4/22/17,,,,,,,,,14,,
LOYOLA,Loyola  #6 - High,FARWELL CUL-DE-SAC,1230 W GREENLEAF AVE,2.23,4/22/17,,,14.1,,<2.0,7/20/17,,,13,,
LOYOLA,Loyola  #6 - Low,FARWELL CUL-DE-SAC,1230 W GREENLEAF AVE,3.48,4/22/17,,,17.6,,,,,,15,22,3.6
LOYOLA,Loyola  #7,SOUTHEAST CORNER OF TENNIS COURT,1230 W GREENLEAF AVE,<2.0,4/22/17,,,33.5,,<2.0,7/20/17,,,26,40,7.7
LUELLA,Luella  #1,"SOUTHEAST CORNER OF BASKETBALL COURT, ON PATH",10021 S LUELLA AVE,3.69,5/4/17,,,<2.0,6/30/17,,,,,37,9.6,16
LUELLA,Luella  #2 - High,"WEST PATH, MIDDLE OF PARK",10021 S LUELLA AVE,2.57,5/4/17,,,<2.0,6/30/17,,,,,18,4.5,10
LUELLA,Luella  #2 - Low,"WEST PATH, MIDDLE OF PARK",10021 S LUELLA AVE,2.58,5/4/17,,,<2.0,6/30/17,,,,,12,,
LUNA,Luna  #1,AT ENTRANCE ON 56TH,5558 S GREEN ST,4.96,7/20/17,,,,,,,,,92.4,33,7
"LUNT (ORRINGTON, STEPHEN)",Lunt  #1,At park entrance on Lunt,2239 W LUNT AVE,<2.0,4/12/17,,,,,,,,,3.61,,
MAGNOLIA,Magnolia  #1,Park entrance,3228 W FLOURNOY ST,<2.0,4/6/17,,,,,,,,,2.43,,
MALUS,Malus  #1 - High,AT ENTRANCE ON SHEILDS,5426 S SHIELDS AVE,4.62,4/5/17,,,46.2,6/29/17,,,,,34.8,10,6.1
MALUS,Malus  #1 - Low,AT ENTRANCE ON SHEILDS,5426 S SHIELDS AVE,5.63,4/5/17,,,46.7,6/29/17,,,,,36.3,16,5.8
MANDRAKE (HENRY BROWN),Mandrake  #1 - High,On path west of field house,900 E PERSHING RD.,<2.0,5/1/17,,,,,,,,,<2.0,,
MANDRAKE (HENRY BROWN),Mandrake  #1 - Low,On path west of field house,900 E PERSHING RD.,<2.0,5/1/17,,,,,,,,,<2.0,,
MANDRAKE (HENRY BROWN),Mandrake  #2,Attached to north side of field house,900 E PERSHING RD.,<2.0,5/1/17,,,,,,,,,<2.0,,
MANDRAKE (HENRY BROWN),Mandrake  #3,Attached to south side of field house,900 E PERSHING RD.,<2.0,5/1/17,,,,,,,,,<2.0,,
MANDRAKE (HENRY BROWN),Mandrake  #4 - High,"Across street, east of running track",900 E PERSHING RD.,<2.0,5/1/17,,,,,,,,,<2.0,,
MANDRAKE (HENRY BROWN),Mandrake  #4 - Low,"Across street, east of running track",900 E PERSHING RD.,<2.0,5/1/17,,,,,,,,,<2.0,,
MANDRAKE (HENRY BROWN),Mandrake  #5,,900 E PERSHING RD.,<2.0,5/1/17,,,,,,,,,<2.0,,
MANDRAKE (HENRY BROWN),Mandrake  #6,,900 E PERSHING RD.,<2.0,5/1/17,,,,,,,,,<2.0,,
MANN (JAMES),Mann  #1 - High,CENTER OF PARK ALONG 130TH,2949 E 131ST ST,4.17,5/5/17,,,,,,,,,<2.0,,
MANN (JAMES),Mann  #1 - Low,CENTER OF PARK ALONG 130TH,2949 E 131ST ST,2.19,5/5/17,,,,,,,,,2.4,,
MANN (JAMES),Mann  #2 - High,EAST ENTRANCE OFF CARONDOLET,2949 E 131ST ST,2.12,5/5/17,,,,,,,,,12,,
MANN (JAMES),Mann  #2 - Low,EAST ENTRANCE OFF CARONDOLET,2949 E 131ST ST,2.2,5/5/17,,,,,,,,,12,,
MANN (JAMES),Mann  #3 - High,PLAYGROUND NEAR TENNIS COURT,2949 E 131ST ST,3.15,5/5/17,,,,,,,,,5.3,,
MANN (JAMES),Mann  #3 - Low,PLAYGROUND NEAR TENNIS COURT,2949 E 131ST ST,2.6,5/5/17,,,,,,,,,<2.0,,
MANN (JAMES),Mann  #4 - High,"WEST SIDE OF BUILDING, ALONG POOL FENCE",2949 E 131ST ST,<2.0,5/5/17,,,,,,,,,6.9,,
MANN (JAMES),Mann  #4 - Low,"WEST SIDE OF BUILDING, ALONG POOL FENCE",2949 E 131ST ST,<2.0,5/5/17,,,,,,,,,12,,
MAPLE,Maple  #1,North side of park,2047 N SPAULDING AVE,4.76,4/8/17,,,,,,,,,86.6,76,85
MAPLEWOOD,Maplewood  #1 - High,PLAYGROUND,1640 N MAPLEWOOD AVE,7.19,4/21/17,,,11.8,8/1/17,,,,,66,35,220
MAPLEWOOD,Maplewood  #1 - Middle,PLAYGROUND,1640 N MAPLEWOOD AVE,9.09,4/21/17,,,8,8/1/17,,,,,70,3100,120
MAPLEWOOD,Maplewood  #1 - Low,PLAYGROUND,1640 N MAPLEWOOD AVE,7.46,4/21/17,,,9.88,8/1/17,,,,,52,280,110
MARQUETTE (JACQUES),Marquette  #1 - High,"WEST OF SPRAYPOOL, EAST OF PLAYGROUND, SOUTH OF 67TH",6734 S KEDZIE AVE,<2.0,4/10/17,,,,,,,,,3.41,,
MARQUETTE (JACQUES),Marquette  #1 - Middle,"WEST OF SPRAYPOOL, EAST OF PLAYGROUND, SOUTH OF 67TH",6734 S KEDZIE AVE,<2.0,4/10/17,,,,,,,,,1.05,,
MARQUETTE (JACQUES),Marquette  #1 - Low,"WEST OF SPRAYPOOL, EAST OF PLAYGROUND, SOUTH OF 67TH",6734 S KEDZIE AVE,<2.0,4/10/17,,,,,,,,,2.53,,
MARQUETTE (JACQUES),Marquette  #2,"SOUTHEAST OF LANDSCAPE YARD ENTRANCE, WEST OF TENNIS COURTS",6734 S KEDZIE AVE,<2.0,4/10/17,,,,,,,,,2.57,,
MARQUETTE (JACQUES),Marquette  #3 - High,NORTH OF ROSE GARDEN,6734 S KEDZIE AVE,2.76,4/10/17,,,,,,,,,1.65,,
MARQUETTE (JACQUES),Marquette  #3 - Low,NORTH OF ROSE GARDEN,6734 S KEDZIE AVE,2.8,4/10/17,,,,,,,,,1.64,,
MARQUETTE (JACQUES),Marquette  #4,SOUTHWEST CORNER OF KEDZIE AND REDFIELD,6734 S KEDZIE AVE,<2.0,4/10/17,,,<2.0,6/12/17,,,,,30.4,33,<2.0
MARQUETTE (JACQUES),Marquette  #5,"SOUTHEAST PLAYGROUND, NORTH OF 71ST",6734 S KEDZIE AVE,<2.0,4/10/17,,,,,,,,,1.61,,
MARQUETTE (JACQUES),Marquette  #6,"OFF WALKING PATH, EAST OF REDFIELD, AT 70TH",6734 S KEDZIE AVE,<2.0,5/10/17,,,,,,,,,9.18,,
MARQUETTE (JACQUES),Marquette  #7,"WEST OF EAST COMFORT STATION, SOUTH OF SOCCER",6734 S KEDZIE AVE,15,5/10/17,,,,,,,,,8.37,,
MARQUETTE (JACQUES),Marquette  #8,"NORTH OF 69TH ON PATH EAST OF BRIDGE, EAST OF REDFIELD",6734 S KEDZIE AVE,4.28,5/10/17,,,,,,,,,0.425,,
MARQUETTE (JACQUES),Marquette  #9,"WEST OF CALIFORNIA, EAST OF TENNIS",6734 S KEDZIE AVE,2.45,5/10/17,,,,,,,,,0.535,,
MARQUETTE (JACQUES),Marquette  #10 - High,"CORNER OF REDFIELD AND SACRAMENTO, NORTH SIDE",6734 S KEDZIE AVE,<2.0,4/10/17,,,,,,,,,8.85,,
MARQUETTE (JACQUES),Marquette  #10 - Low,"CORNER OF REDFIELD AND SACRAMENTO, NORTH SIDE",6734 S KEDZIE AVE,2.18,4/10/17,,,,,,,,,12.3,,
MARQUETTE (JACQUES),Marquette  #11,SOUTH OF TRACK AT COMFORT STATION,6734 S KEDZIE AVE,<2.0,5/10/17,,,,,,,,,5.43,,
MARQUETTE (JACQUES),Marquette  #12 - High,SOUTH OF FIELDHOUSE,6734 S KEDZIE AVE,<2.0,4/10/17,,,,,,,,,<2.0,,
MARQUETTE (JACQUES),Marquette  #12 - Low,SOUTH OF FIELDHOUSE,6734 S KEDZIE AVE,<2.0,4/10/17,,,,,,,,,<2.0,,
MARSHFIELD,Marshfield  #1 - High,SOUTH OF PLAYGROUND,1637 W 87TH ST,<2.0,4/18/17,,,,,,,,,1.52,,
MARSHFIELD,Marshfield  #1 - Low,SOUTH OF PLAYGROUND,1637 W 87TH ST,<2.0,4/18/17,,,,,,,,,1.57,,
MASON (ELIZABETH),Mason  #1,On path closest to south west entrance,4100 W WEST END AVE,<2.0,4/7/17,,,,,,,,,<0.12,,
MASON (ELIZABETH),Mason  #2,"Near playground, North east corner",4100 W WEST END AVE,<2.0,4/7/17,,,,,,,,,<0.12,,
MATANKY (EUGENE),Matanky  #1,AT RIDGE ENTRANCE,6937 N RIDGE BLVD,<2.0,4/24/17,,,,,,,,,8,,
MATHER (STEPHEN TYNG),Mather  #1 - High,Playlot,5941 N RICHMOND ST,<2.0,4/13/17,,,,,,,,,0.316,,
MATHER (STEPHEN TYNG),Mather  #1 - Middle,Playlot,5941 N RICHMOND ST,<2.0,4/13/17,,,,,,,,,0.325,,
MATHER (STEPHEN TYNG),Mather  #1 - Low,Playlot,5941 N RICHMOND ST,<2.0,4/13/17,,,,,,,,,0.302,,
MATHER (STEPHEN TYNG),Mather  #2,West of california,5941 N RICHMOND ST,-,,,,,,,,,,-,,
MATHER (STEPHEN TYNG),Mather  #3,"On path, north of school",5941 N RICHMOND ST,<2.0,4/13/17,,,,,,,,,5.62,,
